Listing of Grid Distortion Data

File : 210527_All\Complete_with_static_thermal\2020-09-01-E-SRO-MMS-IF-6M.ZMX
Title: E-MCD-SCA
Date : 18/06/2021
Configuration 1 of 2

Units are Millimeters.
Field units are degrees
Wavelength: 1.00000 µm
Reference Coordinates: Xref = -1.18239E-13, Yref = -5.77566E-02

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
  -6	  -6	 -7.50000E-03	 -7.50000E-03	  1.06066E-02	  8.96109E+01	  8.95475E+01	  8.96505E+01	  8.95058E+01	    -0.045366%
  -6	  -5	 -7.50000E-03	 -6.25000E-03	  9.76281E-03	  8.96109E+01	  7.46229E+01	  8.96437E+01	  7.45820E+01	    -0.044956%
  -6	  -4	 -7.50000E-03	 -5.00000E-03	  9.01388E-03	  8.96109E+01	  5.96983E+01	  8.96363E+01	  5.96577E+01	    -0.044526%
  -6	  -3	 -7.50000E-03	 -3.75000E-03	  8.38525E-03	  8.96109E+01	  4.47738E+01	  8.96283E+01	  4.47331E+01	    -0.044124%
  -6	  -2	 -7.50000E-03	 -2.50000E-03	  7.90569E-03	  8.96109E+01	  2.98492E+01	  8.96197E+01	  2.98087E+01	    -0.043868%
  -6	  -1	 -7.50000E-03	 -1.25000E-03	  7.60345E-03	  8.96109E+01	  1.49246E+01	  8.96104E+01	  1.48847E+01	    -0.043944%
  -6	   0	 -7.50000E-03	  0.00000E+00	  7.50000E-03	  8.96109E+01	 -1.13895E-09	  8.96005E+01	 -3.85675E-02	    -0.044571%
  -6	   1	 -7.50000E-03	  1.25000E-03	  7.60345E-03	  8.96109E+01	 -1.49246E+01	  8.95900E+01	 -1.49607E+01	    -0.045928%
  -6	   2	 -7.50000E-03	  2.50000E-03	  7.90569E-03	  8.96109E+01	 -2.98492E+01	  8.95788E+01	 -2.98814E+01	    -0.048117%
  -6	   3	 -7.50000E-03	  3.75000E-03	  8.38525E-03	  8.96109E+01	 -4.47738E+01	  8.95670E+01	 -4.48003E+01	    -0.051175%
  -6	   4	 -7.50000E-03	  5.00000E-03	  9.01388E-03	  8.96109E+01	 -5.96983E+01	  8.95546E+01	 -5.97170E+01	    -0.055124%
  -6	   5	 -7.50000E-03	  6.25000E-03	  9.76281E-03	  8.96109E+01	 -7.46229E+01	  8.95415E+01	 -7.46313E+01	    -0.059996%
  -6	   6	 -7.50000E-03	  7.50000E-03	  1.06066E-02	  8.96109E+01	 -8.95475E+01	  8.95277E+01	 -8.95427E+01	    -0.065825%
  -5	  -6	 -6.25000E-03	 -7.50000E-03	  9.76281E-03	  7.46758E+01	  8.95475E+01	  7.47113E+01	  8.95209E+01	     0.038088%
  -5	  -5	 -6.25000E-03	 -6.25000E-03	  8.83883E-03	  7.46758E+01	  7.46229E+01	  7.47057E+01	  7.45966E+01	     0.037775%
  -5	  -4	 -6.25000E-03	 -5.00000E-03	  8.00391E-03	  7.46758E+01	  5.96983E+01	  7.46995E+01	  5.96717E+01	     0.037365%
  -5	  -3	 -6.25000E-03	 -3.75000E-03	  7.28869E-03	  7.46758E+01	  4.47738E+01	  7.46929E+01	  4.47466E+01	     0.036891%
  -5	  -2	 -6.25000E-03	 -2.50000E-03	  6.73146E-03	  7.46758E+01	  2.98492E+01	  7.46857E+01	  2.98216E+01	    -0.036471%
  -5	  -1	 -6.25000E-03	 -1.25000E-03	  6.37377E-03	  7.46758E+01	  1.49246E+01	  7.46780E+01	  1.48970E+01	    -0.036332%
  -5	   0	 -6.25000E-03	  0.00000E+00	  6.25000E-03	  7.46758E+01	 -9.49124E-10	  7.46698E+01	 -2.67900E-02	    -0.036766%
  -5	   1	 -6.25000E-03	  1.25000E-03	  6.37377E-03	  7.46758E+01	 -1.49246E+01	  7.46610E+01	 -1.49495E+01	    -0.038015%
  -5	   2	 -6.25000E-03	  2.50000E-03	  6.73146E-03	  7.46758E+01	 -2.98492E+01	  7.46517E+01	 -2.98707E+01	    -0.040180%
  -5	   3	 -6.25000E-03	  3.75000E-03	  7.28869E-03	  7.46758E+01	 -4.47738E+01	  7.46419E+01	 -4.47902E+01	    -0.043272%
  -5	   4	 -6.25000E-03	  5.00000E-03	  8.00391E-03	  7.46758E+01	 -5.96983E+01	  7.46315E+01	 -5.97075E+01	    -0.047300%
  -5	   5	 -6.25000E-03	  6.25000E-03	  8.83883E-03	  7.46758E+01	 -7.46229E+01	  7.46206E+01	 -7.46224E+01	    -0.052296%
  -5	   6	 -6.25000E-03	  7.50000E-03	  9.76281E-03	  7.46758E+01	 -8.95475E+01	  7.46091E+01	 -8.95343E+01	    -0.058296%
  -4	  -6	 -5.00000E-03	 -7.50000E-03	  9.01388E-03	  5.97406E+01	  8.95475E+01	  5.97708E+01	  8.95333E+01	     0.030978%
  -4	  -5	 -5.00000E-03	 -6.25000E-03	  8.00391E-03	  5.97406E+01	  7.46229E+01	  5.97663E+01	  7.46085E+01	     0.030795%
  -4	  -4	 -5.00000E-03	 -5.00000E-03	  7.07107E-03	  5.97406E+01	  5.96983E+01	  5.97613E+01	  5.96831E+01	     0.030438%
  -4	  -3	 -5.00000E-03	 -3.75000E-03	  6.25000E-03	  5.97406E+01	  4.47738E+01	  5.97560E+01	  4.47576E+01	     0.029916%
  -4	  -2	 -5.00000E-03	 -2.50000E-03	  5.59017E-03	  5.97406E+01	  2.98492E+01	  5.97503E+01	  2.98321E+01	     0.029333%
  -4	  -1	 -5.00000E-03	 -1.25000E-03	  5.15388E-03	  5.97406E+01	  1.49246E+01	  5.97441E+01	  1.49071E+01	    -0.028947%
